Item,Start Date ,Start Time,End Date,End Time,Component,Description,"Duration of Downtime
(hours - hh:mm)",,,,
,16-Apr,18:55,16-Apr,19:14,MA6,Insulation failure,0:19,,,,
,16-Apr,18:59,16-Apr,19:14,MC5,Insulation failure,0:15,,,,
,17-Apr,7:01,17-Apr,7:22,MA1,Insulation failure,0:21,,,,
,17-Apr,7:01,17-Apr,7:23,MA5,Insulation failure,0:22,,,,
,17-Apr,7:01,17-Apr,7:25,MD1,Insulation failure,0:24,,,,
,17-Apr,7:02,17-Apr,7:09,MA3,Insulation failure,0:07,,,,
,17-Apr,7:05,17-Apr,7:06,MA4,Insulation failure,0:01,,,,
,17-Apr,7:05,17-Apr,7:25,MC5,Insulation failure,0:20,,,,
,17-Apr,7:13,17-Apr,7:24,MA6,Insulation failure,0:11,,,,
,17-Apr,7:24,17-Apr,7:34,MD2,Insulation failure,0:10,,,,
,17-Apr,7:35,17-Apr,7:36,MA6,Insulation failure,0:01,,,,
,17-Apr,7:41,17-Apr,7:42,MA6,Insulation failure,0:01,,,,
,17-Apr,7:42,17-Apr,7:52,MD2,Insulation failure,0:10,,,,
,17-Apr,7:46,17-Apr,7:47,MA5,Insulation failure,0:01,,,,
,17-Apr,8:01,17-Apr,8:03,MA5,Insulation failure,0:02,,,,
,17-Apr,8:05,17-Apr,8:10,MA6,Insulation failure,0:05,,,,
,17-Apr,8:12,17-Apr,8:13,MD2,Insulation failure,0:01,,,,
,17-Apr,9:37,17-Apr,9:39,MA3,Insulation failure,0:02,,,,
,17-Apr,9:53,17-Apr,10:09,MA3,Insulation failure,0:16,,,,
,18-Apr,7:34,18-Apr,7:38,MD3,Insulation failure,0:04,,,,
,18-Apr,8:13,18-Apr,8:19,MD2,Insulation failure,0:06,,,,
,18-Apr,8:40,18-Apr,9:18,MD1,Insulation failure,0:38,,,,
,18-Apr,9:16,18-Apr,9:19,MD2,Insulation failure,0:03,,,,
,22-Apr,7:08,22-Apr,7:38,MD3,Insulation failure,0:30,,,,
,22-Apr,9:54,22-Apr,10:50,MB6,Insulation failure,0:56,,,,
,22-Apr,18:14,22-Apr,18:35,MB4,Insulation failure,0:21,,,,
,24-Apr,15:51,24-Apr,15:52,MD4,Insulation failure,0:01,,,,
,24-Apr,16:17,24-Apr,16:18,MD4,Insulation failure,0:01,,,,
,24-Apr,17:47,24-Apr,18:07,MD4,Insulation failure,0:20,,,,
,24-Apr,18:10,24-Apr,18:20,MD4,Insulation failure,0:10,,,,
,24-Apr,18:27,24-Apr,18:30,MC4,Insulation failure,0:03,,,,
,27-Apr,7:15,27-Apr,7:24,MB2,Insulation failure,0:09,,,,
,27-Apr,8:24,27-Apr,8:32,MB2,Insulation failure,0:08,,,,
,27-Apr,9:15,27-Apr,9:19,MA5,Insulation failure,0:04,,,,
,27-Apr,9:45,27-Apr,10:08,MA5,Insulation failure,0:23,,,,
,27-Apr,17:42,27-Apr,17:43,MA4,Insulation failure,0:01,,,,
,28-Apr,9:17,28-Apr,9:35,MB3,Insulation failure,0:18,,,,
,28-Apr,9:43,28-Apr,9:44,MB3,Insulation failure,0:01,,,,
,28-Apr,9:49,28-Apr,10:07,MB3,Insulation failure,0:18,,,,
,30-Apr,7:33,30-Apr,7:49,MB2,Insulation failure,0:16,,,,
,30-Apr,17:14,30-Apr,17:20,MB2,Insulation failure,0:06,,,,
,1-May,7:02,1-May,7:15,MB2,Insulation failure,0:13:00,,,,
,1-May,8:47,1-May,9:31,MB2,Insulation failure,0:44:00,,,,
,1-May,14:04,1-May,14:08,MC1,Insulation failure,0:04:00,,,,
,1-May,14:09,1-May,14:10,MC4,Insulation failure,0:01:00,,,,
,1-May,14:11,1-May,14:13,MA1,Insulation failure,0:02:00,,,,
,1-May,14:18,1-May,14:24,MA1,Insulation failure,0:06:00,,,,
,1-May,14:21,1-May,14:35,MC4,Insulation failure,0:14:00,,,,
,1-May,14:23,1-May,14:25,MC2,Insulation failure,0:02:00,,,,
,1-May,14:36,1-May,14:43,MB2,Insulation failure,0:07:00,,,,
,1-May,14:58,1-May,15:07,MD3,Insulation failure,0:09:00,,,,
,1-May,15:00,1-May,15:02,MC2,Insulation failure,0:02:00,,,,
,1-May,15:11,1-May,15:15,MA5,Insulation failure,0:04:00,,,,
,1-May,15:19,1-May,15:20,MA1,Insulation failure,0:01:00,,,,
,1-May,15:31,1-May,15:32,MA1,Insulation failure,0:01:00,,,,
,1-May,15:52,1-May,16:30,MA1,Insulation failure,0:38:00,,,,
,1-May,15:59,1-May,16:27,MC2,Insulation failure,0:28:00,,,,
,1-May,16:00,1-May,16:28,MB2,Insulation failure,0:28:00,,,,
,1-May,16:16,1-May,16:33,MC5,Insulation failure,0:17:00,,,,
,1-May,16:20,1-May,16:34,MC1,Insulation failure,0:14:00,,,,
